synthetic_person_id,source_entity,source_customer_id,tier,activity_factor,pay_sensitivity,seasonal_sensitivity,night_preference,geo_stability,lifecycle_state,scenario_id,severity,difficulty,burst_window_count
P00001,ananse,AN-C000001,Very Low,0.982716,1.015318,1.045209,0.01759,0.80269,ACTIVE,,,,2
P00002,ananse,AN-C000002,Low,1.202825,0.975859,1.01272,0.131515,0.926384,INACTIVE,,,,2
P00003,ananse,AN-C000003,Very High,1.05781,0.880556,0.843432,0.440473,0.85982,ACTIVE,,,,1
P00004,ananse,AN-C000004,Moderate,1.093618,0.860141,1.111302,0.120076,0.902,ACTIVE,,,,1
P00005,ananse,AN-C000005,Low,1.299358,0.778833,1.117376,0.597623,0.810677,ACTIVE,,,,1
P00006,ananse,AN-C000006,High,1.586075,1.009643,0.971981,0.999413,0.902356,ACTIVE,,,,0
P00007,ananse,AN-C000007,Moderate,1.625134,0.967609,1.008792,0.718008,0.900154,RAMP_UP,,,,0
P00008,ananse,AN-C000008,Moderate,1.263128,1.211306,0.881071,0.621256,0.916576,ACTIVE,S03,Low,Contextual,0
P00009,ananse,AN-C000009,Low,0.927462,1.188869,1.004159,0.429325,0.9202,REDUCED_ACTIVITY,S08,Medium,Detectable,1
P00010,ananse,AN-C000010,Moderate,0.841077,1.152532,0.831402,0.372131,0.972154,ACTIVE,,,,0
P00011,ananse,AN-C000011,Low,1.041483,0.921553,0.96418,0.632343,0.864403,ACTIVE,,,,1
P00012,ananse,AN-C000012,Moderate,1.21806,1.233553,0.840474,0.047578,0.956908,ACTIVE,,,,0
P00013,ananse,AN-C000013,Low,1.230231,1.176363,1.188156,0.152325,0.824793,ACTIVE,,,,1
P00014,ananse,AN-C000014,Low,0.72114,1.069098,0.994131,0.053021,0.809446,INACTIVE,,,,0
P00015,ananse,AN-C000015,Low,1.326112,0.95848,0.895962,0.502459,0.835601,ACTIVE,,,,0
P00016,ananse,AN-C000016,Moderate,0.695471,1.234767,1.066101,0.786229,0.795346,ACTIVE,,,,0
P00017,ananse,AN-C000017,Moderate,1.278831,1.107116,1.178164,0.472954,0.937056,ACTIVE,,,,0
P00018,ananse,AN-C000018,Moderate,1.107846,1.063919,0.894864,0.678566,0.916519,ACTIVE,,,,0
P00019,ananse,AN-C000019,High,1.13778,0.956276,1.071881,0.803501,0.933421,ACTIVE,,,,1
P00020,ananse,AN-C000020,Low,1.261175,1.040066,1.070329,0.971645,0.813255,ACTIVE,,,,1
P00021,ananse,AN-C000021,Low,1.051358,1.194223,0.889194,0.203925,0.916657,ACTIVE,,,,1
P00022,ananse,AN-C000022,Moderate,1.01788,1.183414,0.862737,0.210032,0.831215,REDUCED_ACTIVITY,,,,0
P00023,ananse,AN-C000023,Low,1.178278,0.765212,1.197575,0.680221,0.894537,REDUCED_ACTIVITY,,,,0
