p2p_transfer_id,leg_role,customer_id,wallet_id,amount,direction
ANTX-000000005,P2P_SEND,AN-C000001,100000001,246.41,DEBIT
ANTX-000000005,P2P_RECEIVE,AN-C002339,100002339,246.41,CREDIT
ANTX-000000006,P2P_SEND,AN-C000001,100000001,664.12,DEBIT
ANTX-000000006,P2P_RECEIVE,AN-C001325,100001325,664.12,CREDIT
ANTX-000000011,P2P_SEND,AN-C000001,100000001,48.13,DEBIT
ANTX-000000011,P2P_RECEIVE,AN-C002661,100002661,48.13,CREDIT
ANTX-000000013,P2P_SEND,AN-C000001,100000001,757.86,DEBIT
ANTX-000000013,P2P_RECEIVE,AN-C001461,100001461,757.86,CREDIT
ANTX-000000020,P2P_SEND,AN-C000001,100000001,899.2,DEBIT
ANTX-000000020,P2P_RECEIVE,AN-C000065,100000065,899.2,CREDIT
ANTX-000000027,P2P_SEND,AN-C000001,100000001,1813.41,DEBIT
ANTX-000000027,P2P_RECEIVE,AN-C000733,100000733,1813.41,CREDIT
ANTX-000000048,P2P_SEND,AN-C000001,100000001,538.54,DEBIT
ANTX-000000048,P2P_RECEIVE,AN-C000541,100000541,538.54,CREDIT
ANTX-000000058,P2P_SEND,AN-C000001,100000001,262.28,DEBIT
ANTX-000000058,P2P_RECEIVE,AN-C001716,100001716,262.28,CREDIT
ANTX-000000059,P2P_SEND,AN-C000001,100000001,10.83,DEBIT
ANTX-000000059,P2P_RECEIVE,AN-C002301,100002301,10.83,CREDIT
ANTX-000000066,P2P_SEND,AN-C000001,100000001,202.32,DEBIT
ANTX-000000066,P2P_RECEIVE,AN-C001704,100001704,202.32,CREDIT
ANTX-000000069,P2P_SEND,AN-C000001,100000001,345.47,DEBIT
ANTX-000000069,P2P_RECEIVE,AN-C002053,100002053,345.47,CREDIT
ANTX-000000083,P2P_SEND,AN-C000001,100000001,10.72,DEBIT
ANTX-000000083,P2P_RECEIVE,AN-C001791,100001791,10.72,CREDIT
ANTX-000000086,P2P_SEND,AN-C000001,100000001,405.97,DEBIT
ANTX-000000086,P2P_RECEIVE,AN-C002297,100002297,405.97,CREDIT
ANTX-000000088,P2P_SEND,AN-C000001,100000001,850.93,DEBIT
ANTX-000000088,P2P_RECEIVE,AN-C000371,100000371,850.93,CREDIT
ANTX-000000099,P2P_SEND,AN-C000001,100000001,121.69,DEBIT
ANTX-000000099,P2P_RECEIVE,AN-C000323,100000323,121.69,CREDIT
ANTX-000000105,P2P_SEND,AN-C000002,100000002,366.16,DEBIT
ANTX-000000105,P2P_RECEIVE,AN-C001880,100001880,366.16,CREDIT
ANTX-000000106,P2P_SEND,AN-C000002,100000002,139.85,DEBIT
ANTX-000000106,P2P_RECEIVE,AN-C002858,100002858,139.85,CREDIT
ANTX-000000110,P2P_SEND,AN-C000002,100000002,1102.48,DEBIT
ANTX-000000110,P2P_RECEIVE,AN-C000130,100000130,1102.48,CREDIT
ANTX-000000111,P2P_SEND,AN-C000002,100000002,1159.31,DEBIT
ANTX-000000111,P2P_RECEIVE,AN-C001349,100001349,1159.31,CREDIT
ANTX-000000117,P2P_SEND,AN-C000002,100000002,1256.43,DEBIT
ANTX-000000117,P2P_RECEIVE,AN-C000772,100000772,1256.43,CREDIT
ANTX-000000120,P2P_SEND,AN-C000002,100000002,659.97,DEBIT
ANTX-000000120,P2P_RECEIVE,AN-C002115,100002115,659.97,CREDIT
ANTX-000000129,P2P_SEND,AN-C000002,100000002,1415.64,DEBIT
ANTX-000000129,P2P_RECEIVE,AN-C000319,100000319,1415.64,CREDIT
ANTX-000000134,P2P_SEND,AN-C000002,100000002,572.56,DEBIT
ANTX-000000134,P2P_RECEIVE,AN-C002825,100002825,572.56,CREDIT
ANTX-000000140,P2P_SEND,AN-C000002,100000002,296.3,DEBIT
ANTX-000000140,P2P_RECEIVE,AN-C001580,100001580,296.3,CREDIT
ANTX-000000145,P2P_SEND,AN-C000002,100000002,54.08,DEBIT
ANTX-000000145,P2P_RECEIVE,AN-C002087,100002087,54.08,CREDIT
ANTX-000000149,P2P_SEND,AN-C000002,100000002,932.01,DEBIT
ANTX-000000149,P2P_RECEIVE,AN-C001688,100001688,932.01,CREDIT
ANTX-000000156,P2P_SEND,AN-C000002,100000002,937.18,DEBIT
ANTX-000000156,P2P_RECEIVE,AN-C000342,100000342,937.18,CREDIT
ANTX-000000168,P2P_SEND,AN-C000002,100000002,414.62,DEBIT
ANTX-000000168,P2P_RECEIVE,AN-C000779,100000779,414.62,CREDIT
ANTX-000000172,P2P_SEND,AN-C000002,100000002,861.69,DEBIT
ANTX-000000172,P2P_RECEIVE,AN-C000993,100000993,861.69,CREDIT
ANTX-000000173,P2P_SEND,AN-C000002,100000002,1360.7,DEBIT
ANTX-000000173,P2P_RECEIVE,AN-C001867,100001867,1360.7,CREDIT
ANTX-000000176,P2P_SEND,AN-C000003,100000003,2444.79,DEBIT
ANTX-000000176,P2P_RECEIVE,AN-C000469,100000469,2444.79,CREDIT
ANTX-000000177,P2P_SEND,AN-C000003,100000003,1165.21,DEBIT
ANTX-000000177,P2P_RECEIVE,AN-C002692,100002692,1165.21,CREDIT
ANTX-000000178,P2P_SEND,AN-C000003,100000003,1875.1,DEBIT
ANTX-000000178,P2P_RECEIVE,AN-C001178,100001178,1875.1,CREDIT
ANTX-000000180,P2P_SEND,AN-C000003,100000003,638.46,DEBIT
ANTX-000000180,P2P_RECEIVE,AN-C000296,100000296,638.46,CREDIT
ANTX-000000184,P2P_SEND,AN-C000003,100000003,319.34,DEBIT
ANTX-000000184,P2P_RECEIVE,AN-C000369,100000369,319.34,CREDIT
ANTX-000000197,P2P_SEND,AN-C000003,100000003,950.94,DEBIT
ANTX-000000197,P2P_RECEIVE,AN-C000150,100000150,950.94,CREDIT
ANTX-000000200,P2P_SEND,AN-C000003,100000003,1214.33,DEBIT
ANTX-000000200,P2P_RECEIVE,AN-C001678,100001678,1214.33,CREDIT
ANTX-000000201,P2P_SEND,AN-C000003,100000003,23.3,DEBIT
ANTX-000000201,P2P_RECEIVE,AN-C001648,100001648,23.3,CREDIT
ANTX-000000213,P2P_SEND,AN-C000003,100000003,489.21,DEBIT
ANTX-000000213,P2P_RECEIVE,AN-C001813,100001813,489.21,CREDIT
ANTX-000000218,P2P_SEND,AN-C000003,100000003,124.31,DEBIT
ANTX-000000218,P2P_RECEIVE,AN-C001706,100001706,124.31,CREDIT
ANTX-000000230,P2P_SEND,AN-C000003,100000003,124.07,DEBIT
ANTX-000000230,P2P_RECEIVE,AN-C000681,100000681,124.07,CREDIT
ANTX-000000237,P2P_SEND,AN-C000003,100000003,153.06,DEBIT
ANTX-000000237,P2P_RECEIVE,AN-C001956,100001956,153.06,CREDIT
ANTX-000000241,P2P_SEND,AN-C000003,100000003,538.94,DEBIT
ANTX-000000241,P2P_RECEIVE,AN-C000940,100000940,538.94,CREDIT
ANTX-000000242,P2P_SEND,AN-C000003,100000003,31.72,DEBIT
ANTX-000000242,P2P_RECEIVE,AN-C001931,100001931,31.72,CREDIT
ANTX-000000244,P2P_SEND,AN-C000003,100000003,271.64,DEBIT
ANTX-000000244,P2P_RECEIVE,AN-C000999,100000999,271.64,CREDIT
ANTX-000000248,P2P_SEND,AN-C000003,100000003,949.88,DEBIT
ANTX-000000248,P2P_RECEIVE,AN-C001361,100001361,949.88,CREDIT
ANTX-000000252,P2P_SEND,AN-C000003,100000003,76.92,DEBIT
ANTX-000000252,P2P_RECEIVE,AN-C002727,100002727,76.92,CREDIT
ANTX-000000258,P2P_SEND,AN-C000003,100000003,1613.44,DEBIT
ANTX-000000258,P2P_RECEIVE,AN-C001796,100001796,1613.44,CREDIT
ANTX-000000265,P2P_SEND,AN-C000003,100000003,798.63,DEBIT
ANTX-000000265,P2P_RECEIVE,AN-C002536,100002536,798.63,CREDIT
ANTX-000000267,P2P_SEND,AN-C000003,100000003,1842.77,DEBIT
ANTX-000000267,P2P_RECEIVE,AN-C002088,100002088,1842.77,CREDIT
ANTX-000000274,P2P_SEND,AN-C000003,100000003,325.95,DEBIT
ANTX-000000274,P2P_RECEIVE,AN-C002914,100002914,325.95,CREDIT
ANTX-000000279,P2P_SEND,AN-C000003,100000003,589.11,DEBIT
ANTX-000000279,P2P_RECEIVE,AN-C000233,100000233,589.11,CREDIT
ANTX-000000287,P2P_SEND,AN-C000003,100000003,148.1,DEBIT
