synthetic_person_id,source_entity,source_customer_id,scenario_id,scenario_family,severity,difficulty
P00008,ananse,AN-C000008,S03,Rapid cash-in -> P2P -> cash-out,Low,Contextual
P00009,ananse,AN-C000009,S08,Loan withdrawal + cash-out velocity,Medium,Detectable
P00029,ananse,AN-C000029,S02,Midnight / unusual-hour activity,Low,Contextual
P00052,ananse,AN-C000052,S05,Unusual customer-specific cash-out,Low,Contextual
P00090,ananse,AN-C000090,S11,Cross-institution behavioural anomaly,Medium,Contextual
P00110,ananse,AN-C000110,S04,Dormant-account reactivation,Medium,Contextual
P00115,ananse,AN-C000115,S08,Loan withdrawal + cash-out velocity,Low,Contextual
P00134,ananse,AN-C000134,S11,Cross-institution behavioural anomaly,Low,Cross-institution
P00146,ananse,AN-C000146,S02,Midnight / unusual-hour activity,Low,Multi-event
P00161,ananse,AN-C000161,S11,Cross-institution behavioural anomaly,High,Ambiguous
P00164,ananse,AN-C000164,S05,Unusual customer-specific cash-out,High,Contextual
P00165,ananse,AN-C000165,S10,Geographic anomaly,Low,Contextual
P00203,ananse,AN-C000203,S10,Geographic anomaly,Medium,Detectable
P00204,ananse,AN-C000204,S01,High transaction velocity,Medium,Multi-event
P00216,ananse,AN-C000216,S10,Geographic anomaly,Medium,Contextual
P00285,ananse,AN-C000285,S10,Geographic anomaly,Medium,Multi-event
P00327,ananse,AN-C000327,S03,Rapid cash-in -> P2P -> cash-out,High,Contextual
P00341,ananse,AN-C000341,S14,Concentration / exposure,Low,Multi-event
P00357,ananse,AN-C000357,S09,Repeated failed transactions,Medium,Multi-event
P00401,ananse,AN-C000401,S11,Cross-institution behavioural anomaly,Low,Cross-institution
P00409,ananse,AN-C000409,S10,Geographic anomaly,High,Detectable
P00412,ananse,AN-C000412,S05,Unusual customer-specific cash-out,Low,Detectable
P00419,ananse,AN-C000419,S02,Midnight / unusual-hour activity,Medium,Contextual
P00465,ananse,AN-C000465,S11,Cross-institution behavioural anomaly,Low,Contextual
P00470,ananse,AN-C000470,S15,Multi-stage behavioural sequence,Low,Multi-event
