transaction_id,customer_id,wallet_id,transaction_status_id,transaction_type_id,transaction_channel_id,currency_id,transaction_timestamp,transaction_location,device_id,amount
ANTX-000000001,AN-C000001,100000001,1,1,6,1,2023-08-25 20:24:51.000,Bono|Berekum,DEV-000096,1172.49
ANTX-000000002,AN-C000001,100000001,1,2,7,1,2023-09-13 20:37:33.000,Bono|Berekum,DEV-000096,168.14
ANTX-000000003,AN-C000001,100000001,1,4,4,1,2023-09-09 16:43:26.000,Bono|Berekum,DEV-000096,777.06
ANTX-000000004,AN-C000001,100000001,2,1,6,1,2023-09-27 02:26:03.000,Bono|Berekum,DEV-000096,87.38
ANTX-000000005,AN-C000001,100000001,1,3,6,1,2023-09-17 20:13:43.000,Bono|Berekum,DEV-000096,246.41
ANTX-000000667,AN-C000004,100000004,1,2,4,1,2023-07-29 17:25:44.000,Greater Accra|Accra,DEV-001853,4215.27
ANTX-000000668,AN-C000004,100000004,1,3,7,1,2023-07-07 15:32:11.000,Greater Accra|Accra,DEV-001853,22.61
ANTX-000000669,AN-C000004,100000004,1,1,4,1,2023-07-30 15:06:58.000,Greater Accra|Accra,DEV-001853,1228.87
ANTX-000000670,AN-C000004,100000004,1,1,1,1,2023-08-31 06:35:12.000,Greater Accra|Accra,DEV-001853,1336.21
ANTX-000000671,AN-C000004,100000004,2,3,1,1,2023-08-25 09:10:32.000,Greater Accra|Accra,DEV-001853,1790.25
ANTX-000000672,AN-C000004,100000004,1,3,5,1,2023-08-27 19:57:43.000,Greater Accra|Accra,DEV-001853,123.81
ANTX-000000673,AN-C000004,100000004,1,2,4,1,2023-08-28 16:08:50.000,Greater Accra|Accra,DEV-001853,684.57
ANTX-000000674,AN-C000004,100000004,1,2,1,1,2023-08-25 14:54:14.000,Greater Accra|Accra,DEV-001853,34.82
ANTX-000000675,AN-C000004,100000004,1,3,1,1,2023-08-22 16:00:38.000,Greater Accra|Accra,DEV-001853,334.93
ANTX-000000676,AN-C000004,100000004,1,4,4,1,2023-08-04 09:16:59.000,Greater Accra|Accra,DEV-001853,5948.52
ANTX-000000677,AN-C000004,100000004,1,2,6,1,2023-08-18 17:12:42.000,Greater Accra|Accra,DEV-001853,2888.08
ANTX-000000678,AN-C000004,100000004,1,1,5,1,2023-09-18 01:27:33.000,Greater Accra|Accra,DEV-001853,2052.25
ANTX-000000679,AN-C000004,100000004,1,1,8,1,2023-09-23 12:10:18.000,Greater Accra|Accra,DEV-001853,113.25
ANTX-000000680,AN-C000004,100000004,1,3,4,1,2023-09-14 17:03:20.000,Greater Accra|Accra,DEV-001853,1075.26
ANTX-000000681,AN-C000004,100000004,1,2,3,1,2023-09-02 19:43:40.000,Greater Accra|Accra,DEV-001853,29.34
ANTX-000000682,AN-C000004,100000004,1,4,3,1,2023-09-08 23:58:36.000,Greater Accra|Accra,DEV-001853,2316.98
ANTX-000003248,AN-C000010,100000010,1,3,1,1,2023-07-11 21:14:17.000,Western|Takoradi,DEV-000632,505.07
ANTX-000003249,AN-C000010,100000010,1,1,7,1,2023-07-17 15:47:03.000,Western|Takoradi,DEV-000632,2707.07
ANTX-000003250,AN-C000010,100000010,1,2,7,1,2023-07-05 03:30:52.000,Western|Takoradi,DEV-000632,2340.35
ANTX-000003251,AN-C000010,100000010,1,3,5,1,2023-07-06 10:05:06.000,Western|Takoradi,DEV-000632,88.57
ANTX-000003252,AN-C000010,100000010,1,2,7,1,2023-07-13 20:35:57.000,Western|Takoradi,DEV-000632,497.71
