wallet_id,customer_id
100000001,AN-C000001
100000002,AN-C000002
100000003,AN-C000003
100000004,AN-C000004
100000005,AN-C000005
100000006,AN-C000006
100000007,AN-C000007
100000008,AN-C000008
100000009,AN-C000009
100000010,AN-C000010
100000011,AN-C000011
100000012,AN-C000012
100000013,AN-C000013
100000014,AN-C000014
100000015,AN-C000015
100000016,AN-C000016
100000017,AN-C000017
100000018,AN-C000018
100000019,AN-C000019
100000020,AN-C000020
100000021,AN-C000021
100000022,AN-C000022
100000023,AN-C000023
100000024,AN-C000024
100000025,AN-C000025
100000026,AN-C000026
100000027,AN-C000027
100000028,AN-C000028
100000029,AN-C000029
100000030,AN-C000030
100000031,AN-C000031
100000032,AN-C000032
100000033,AN-C000033
100000034,AN-C000034
100000035,AN-C000035
100000036,AN-C000036
100000037,AN-C000037
100000038,AN-C000038
100000039,AN-C000039
100000040,AN-C000040
100000041,AN-C000041
100000042,AN-C000042
100000043,AN-C000043
100000044,AN-C000044
100000045,AN-C000045
100000046,AN-C000046
100000047,AN-C000047
100000048,AN-C000048
100000049,AN-C000049
100000050,AN-C000050
100000051,AN-C000051
100000052,AN-C000052
100000053,AN-C000053
100000054,AN-C000054
100000055,AN-C000055
100000056,AN-C000056
100000057,AN-C000057
100000058,AN-C000058
100000059,AN-C000059
100000060,AN-C000060
100000061,AN-C000061
100000062,AN-C000062
100000063,AN-C000063
100000064,AN-C000064
100000065,AN-C000065
100000066,AN-C000066
100000067,AN-C000067
100000068,AN-C000068
100000069,AN-C000069
100000070,AN-C000070
100000071,AN-C000071
100000072,AN-C000072
100000073,AN-C000073
100000074,AN-C000074
100000075,AN-C000075
100000076,AN-C000076
100000077,AN-C000077
100000078,AN-C000078
100000079,AN-C000079
100000080,AN-C000080
100000081,AN-C000081
100000082,AN-C000082
100000083,AN-C000083
100000084,AN-C000084
100000085,AN-C000085
100000086,AN-C000086
100000087,AN-C000087
100000088,AN-C000088
100000089,AN-C000089
100000090,AN-C000090
100000091,AN-C000091
100000092,AN-C000092
100000093,AN-C000093
100000094,AN-C000094
100000095,AN-C000095
100000096,AN-C000096
100000097,AN-C000097
100000098,AN-C000098
100000099,AN-C000099
100000100,AN-C000100
100000101,AN-C000101
100000102,AN-C000102
100000103,AN-C000103
100000104,AN-C000104
100000105,AN-C000105
100000106,AN-C000106
100000107,AN-C000107
100000108,AN-C000108
100000109,AN-C000109
100000110,AN-C000110
100000111,AN-C000111
100000112,AN-C000112
100000113,AN-C000113
100000114,AN-C000114
100000115,AN-C000115
100000116,AN-C000116
100000117,AN-C000117
100000118,AN-C000118
100000119,AN-C000119
100000120,AN-C000120
100000121,AN-C000121
100000122,AN-C000122
100000123,AN-C000123
100000124,AN-C000124
100000125,AN-C000125
100000126,AN-C000126
100000127,AN-C000127
100000128,AN-C000128
100000129,AN-C000129
100000130,AN-C000130
100000131,AN-C000131
100000132,AN-C000132
100000133,AN-C000133
100000134,AN-C000134
100000135,AN-C000135
100000136,AN-C000136
100000137,AN-C000137
100000138,AN-C000138
100000139,AN-C000139
100000140,AN-C000140
100000141,AN-C000141
100000142,AN-C000142
100000143,AN-C000143
100000144,AN-C000144
100000145,AN-C000145
100000146,AN-C000146
100000147,AN-C000147
100000148,AN-C000148
100000149,AN-C000149
100000150,AN-C000150
100000151,AN-C000151
100000152,AN-C000152
100000153,AN-C000153
100000154,AN-C000154
100000155,AN-C000155
100000156,AN-C000156
100000157,AN-C000157
100000158,AN-C000158
100000159,AN-C000159
100000160,AN-C000160
100000161,AN-C000161
100000162,AN-C000162
100000163,AN-C000163
100000164,AN-C000164
100000165,AN-C000165
100000166,AN-C000166
100000167,AN-C000167
100000168,AN-C000168
100000169,AN-C000169
100000170,AN-C000170
100000171,AN-C000171
100000172,AN-C000172
100000173,AN-C000173
100000174,AN-C000174
100000175,AN-C000175
100000176,AN-C000176
100000177,AN-C000177
100000178,AN-C000178
100000179,AN-C000179
100000180,AN-C000180
100000181,AN-C000181
100000182,AN-C000182
100000183,AN-C000183
100000184,AN-C000184
100000185,AN-C000185
100000186,AN-C000186
100000187,AN-C000187
100000188,AN-C000188
100000189,AN-C000189
100000190,AN-C000190
100000191,AN-C000191
100000192,AN-C000192
100000193,AN-C000193
100000194,AN-C000194
100000195,AN-C000195
100000196,AN-C000196
100000197,AN-C000197
100000198,AN-C000198
100000199,AN-C000199
100000200,AN-C000200
100000201,AN-C000201
100000202,AN-C000202
100000203,AN-C000203
100000204,AN-C000204
100000205,AN-C000205
100000206,AN-C000206
100000207,AN-C000207
100000208,AN-C000208
100000209,AN-C000209
100000210,AN-C000210
100000211,AN-C000211
100000212,AN-C000212
100000213,AN-C000213
100000214,AN-C000214
100000215,AN-C000215
100000216,AN-C000216
100000217,AN-C000217
100000218,AN-C000218
100000219,AN-C000219
100000220,AN-C000220
100000221,AN-C000221
100000222,AN-C000222
100000223,AN-C000223
100000224,AN-C000224
100000225,AN-C000225
100000226,AN-C000226
100000227,AN-C000227
100000228,AN-C000228
100000229,AN-C000229
100000230,AN-C000230
100000231,AN-C000231
100000232,AN-C000232
100000233,AN-C000233
100000234,AN-C000234
100000235,AN-C000235
100000236,AN-C000236
100000237,AN-C000237
100000238,AN-C000238
100000239,AN-C000239
100000240,AN-C000240
100000241,AN-C000241
100000242,AN-C000242
100000243,AN-C000243
100000244,AN-C000244
100000245,AN-C000245
100000246,AN-C000246
100000247,AN-C000247
100000248,AN-C000248
100000249,AN-C000249
100000250,AN-C000250
100000251,AN-C000251
100000252,AN-C000252
100000253,AN-C000253
100000254,AN-C000254
100000255,AN-C000255
100000256,AN-C000256
100000257,AN-C000257
100000258,AN-C000258
100000259,AN-C000259
100000260,AN-C000260
100000261,AN-C000261
100000262,AN-C000262
100000263,AN-C000263
100000264,AN-C000264
100000265,AN-C000265
100000266,AN-C000266
100000267,AN-C000267
100000268,AN-C000268
100000269,AN-C000269
100000270,AN-C000270
100000271,AN-C000271
100000272,AN-C000272
100000273,AN-C000273
100000274,AN-C000274
100000275,AN-C000275
100000276,AN-C000276
100000277,AN-C000277
100000278,AN-C000278
100000279,AN-C000279
100000280,AN-C000280
100000281,AN-C000281
100000282,AN-C000282
100000283,AN-C000283
100000284,AN-C000284
100000285,AN-C000285
100000286,AN-C000286
100000287,AN-C000287
100000288,AN-C000288
100000289,AN-C000289
100000290,AN-C000290
100000291,AN-C000291
100000292,AN-C000292
100000293,AN-C000293
100000294,AN-C000294
100000295,AN-C000295
100000296,AN-C000296
100000297,AN-C000297
100000298,AN-C000298
100000299,AN-C000299
100000300,AN-C000300
100000301,AN-C000301
100000302,AN-C000302
100000303,AN-C000303
100000304,AN-C000304
100000305,AN-C000305
100000306,AN-C000306
100000307,AN-C000307
100000308,AN-C000308
100000309,AN-C000309
100000310,AN-C000310
100000311,AN-C000311
100000312,AN-C000312
100000313,AN-C000313
100000314,AN-C000314
100000315,AN-C000315
100000316,AN-C000316
100000317,AN-C000317
100000318,AN-C000318
100000319,AN-C000319
100000320,AN-C000320
100000321,AN-C000321
100000322,AN-C000322
100000323,AN-C000323
100000324,AN-C000324
100000325,AN-C000325
100000326,AN-C000326
100000327,AN-C000327
100000328,AN-C000328
100000329,AN-C000329
100000330,AN-C000330
100000331,AN-C000331
100000332,AN-C000332
100000333,AN-C000333
100000334,AN-C000334
100000335,AN-C000335
100000336,AN-C000336
100000337,AN-C000337
100000338,AN-C000338
100000339,AN-C000339
100000340,AN-C000340
100000341,AN-C000341
100000342,AN-C000342
100000343,AN-C000343
100000344,AN-C000344
100000345,AN-C000345
100000346,AN-C000346
100000347,AN-C000347
100000348,AN-C000348
100000349,AN-C000349
100000350,AN-C000350
100000351,AN-C000351
100000352,AN-C000352
100000353,AN-C000353
100000354,AN-C000354
100000355,AN-C000355
100000356,AN-C000356
100000357,AN-C000357
100000358,AN-C000358
100000359,AN-C000359
100000360,AN-C000360
100000361,AN-C000361
100000362,AN-C000362
100000363,AN-C000363
100000364,AN-C000364
100000365,AN-C000365
100000366,AN-C000366
100000367,AN-C000367
100000368,AN-C000368
100000369,AN-C000369
100000370,AN-C000370
100000371,AN-C000371
100000372,AN-C000372
100000373,AN-C000373
100000374,AN-C000374
100000375,AN-C000375
100000376,AN-C000376
100000377,AN-C000377
100000378,AN-C000378
100000379,AN-C000379
100000380,AN-C000380
100000381,AN-C000381
100000382,AN-C000382
100000383,AN-C000383
100000384,AN-C000384
100000385,AN-C000385
100000386,AN-C000386
100000387,AN-C000387
100000388,AN-C000388
100000389,AN-C000389
100000390,AN-C000390
100000391,AN-C000391
100000392,AN-C000392
100000393,AN-C000393
100000394,AN-C000394
100000395,AN-C000395
100000396,AN-C000396
100000397,AN-C000397
100000398,AN-C000398
100000399,AN-C000399
100000400,AN-C000400
100000401,AN-C000401
100000402,AN-C000402
100000403,AN-C000403
100000404,AN-C000404
100000405,AN-C000405
100000406,AN-C000406
100000407,AN-C000407
100000408,AN-C000408
100000409,AN-C000409
100000410,AN-C000410
100000411,AN-C000411
100000412,AN-C000412
100000413,AN-C000413
100000414,AN-C000414
100000415,AN-C000415
100000416,AN-C000416
