remittance_id,customer_id,country_id,remittance_status,remittance_timestamp,transaction_location,amount,currency,transaction_channel
ORMT-00000036,OR-C000003,4,SUCCESSFUL,2024-01-27 15:47:26.000,Bono East|Kintampo,329.58,GHS,MOBILE_APP
ORMT-00000037,OR-C000003,8,SUCCESSFUL,2024-02-09 11:21:24.000,Bono East|Kintampo,94.53,GHS,MOBILE_APP
ORMT-00000038,OR-C000003,1,SUCCESSFUL,2024-02-28 07:08:42.000,Bono East|Kintampo,125.01,GHS,MOBILE_APP
ORMT-00000039,OR-C000003,3,SUCCESSFUL,2024-02-23 08:58:04.000,Bono East|Kintampo,409.15,GHS,AGENT
ORMT-00000040,OR-C000003,4,SUCCESSFUL,2024-03-29 16:11:23.000,Bono East|Kintampo,295.56,GHS,AGENT
ORMT-00000041,OR-C000003,1,SUCCESSFUL,2024-03-24 20:31:34.000,Bono East|Kintampo,1745.96,GHS,API
ORMT-00000112,OR-C000004,4,SUCCESSFUL,2024-02-22 12:55:54.000,Ashanti|Kumasi,308.4,GHS,API
ORMT-00000117,OR-C000005,5,SUCCESSFUL,2024-02-05 15:36:52.000,Western|Tarkwa,1058.69,GHS,AGENT
ORMT-00000147,OR-C000008,4,SUCCESSFUL,2024-01-30 16:44:47.000,Ahafo|Duayaw Nkwanta,1804.94,GHS,AGENT
ORMT-00000148,OR-C000008,2,SUCCESSFUL,2024-01-09 15:28:47.000,Ahafo|Duayaw Nkwanta,244.54,GHS,API
ORMT-00000149,OR-C000008,8,SUCCESSFUL,2024-01-09 17:58:16.000,Ahafo|Duayaw Nkwanta,235.37,GHS,AGENT
ORMT-00000150,OR-C000008,2,SUCCESSFUL,2024-02-19 13:27:22.000,Ahafo|Duayaw Nkwanta,1783.97,GHS,AGENT
ORMT-00000151,OR-C000008,1,SUCCESSFUL,2024-02-10 13:39:31.000,Ahafo|Duayaw Nkwanta,662.86,GHS,AGENT
ORMT-00000152,OR-C000008,3,SUCCESSFUL,2024-02-29 11:47:23.000,Ahafo|Duayaw Nkwanta,1215.02,GHS,MOBILE_APP
ORMT-00000153,OR-C000008,2,SUCCESSFUL,2024-03-07 18:44:22.000,Ahafo|Duayaw Nkwanta,471.04,GHS,MOBILE_APP
ORMT-00000154,OR-C000008,7,SUCCESSFUL,2024-03-30 15:58:25.000,Ahafo|Duayaw Nkwanta,1160.59,GHS,AGENT
ORMT-00000155,OR-C000008,5,SUCCESSFUL,2024-03-11 15:02:21.000,Ahafo|Duayaw Nkwanta,974.03,GHS,AGENT
ORMT-00000195,OR-C000009,5,FAILED,2024-02-27 17:04:37.000,Western|Takoradi,1163.12,GHS,MOBILE_APP
ORMT-00000196,OR-C000009,1,SUCCESSFUL,2024-02-21 19:13:04.000,Western|Takoradi,468.99,GHS,AGENT
ORMT-00000197,OR-C000009,3,SUCCESSFUL,2024-03-23 19:41:43.000,Western|Takoradi,570.91,GHS,MOBILE_APP
ORMT-00000214,OR-C000010,9,SUCCESSFUL,2024-03-30 20:17:00.000,Greater Accra|Tema,1318.36,GHS,API
ORMT-00000215,OR-C000010,5,SUCCESSFUL,2024-03-28 21:48:51.000,Greater Accra|Tema,398.82,GHS,MOBILE_APP
ORMT-00000216,OR-C000010,1,SUCCESSFUL,2024-03-30 16:21:17.000,Greater Accra|Tema,766.2,GHS,MOBILE_APP
ORMT-00000217,OR-C000010,2,SUCCESSFUL,2024-03-31 10:32:35.000,Greater Accra|Tema,1192.4,GHS,THIRD_PARTY
ORMT-00000218,OR-C000010,1,SUCCESSFUL,2024-03-30 19:17:56.000,Greater Accra|Tema,2210.1,GHS,AGENT
ORMT-00000256,OR-C000011,2,SUCCESSFUL,2024-01-16 10:59:00.000,Ashanti|Obuasi,645.75,GHS,API
ORMT-00000257,OR-C000011,3,SUCCESSFUL,2024-02-20 19:14:48.000,Ashanti|Obuasi,3201.61,GHS,MOBILE_APP
ORMT-00000412,OR-C000019,3,SUCCESSFUL,2024-02-27 07:57:38.000,Ahafo|Duayaw Nkwanta,355.16,GHS,AGENT
ORMT-00000413,OR-C000019,1,SUCCESSFUL,2024-03-29 07:16:36.000,Ahafo|Duayaw Nkwanta,443.09,GHS,WEB
ORMT-00000414,OR-C000019,7,SUCCESSFUL,2024-03-04 09:30:52.000,Ahafo|Duayaw Nkwanta,773.05,GHS,AGENT
ORMT-00000435,OR-C000020,2,SUCCESSFUL,2024-01-04 16:14:24.000,Greater Accra|Kasoa,335.76,GHS,AGENT
ORMT-00000460,OR-C000021,4,SUCCESSFUL,2024-01-30 11:24:39.000,Bono East|Techiman,414.11,GHS,AGENT
ORMT-00000461,OR-C000021,3,SUCCESSFUL,2024-02-29 12:58:50.000,Bono East|Techiman,2726.35,GHS,AGENT
ORMT-00000462,OR-C000021,8,SUCCESSFUL,2024-02-23 16:14:24.000,Bono East|Techiman,380.84,GHS,AGENT
ORMT-00000463,OR-C000021,3,SUCCESSFUL,2024-02-14 15:13:06.000,Bono East|Techiman,311.13,GHS,AGENT
ORMT-00000464,OR-C000021,1,SUCCESSFUL,2024-03-02 13:59:30.000,Bono East|Techiman,3001.14,GHS,MOBILE_APP
ORMT-00000575,OR-C000026,2,SUCCESSFUL,2024-01-04 20:58:31.000,Oti|Dambai,297.16,GHS,WEB
ORMT-00000576,OR-C000026,7,SUCCESSFUL,2024-02-26 16:15:55.000,Oti|Dambai,108.71,GHS,MOBILE_APP
ORMT-00000577,OR-C000026,3,SUCCESSFUL,2024-02-08 08:44:49.000,Oti|Dambai,865.41,GHS,AGENT
ORMT-00000578,OR-C000026,8,SUCCESSFUL,2024-03-30 14:20:37.000,Oti|Dambai,1794.57,GHS,MOBILE_APP
ORMT-00000579,OR-C000026,9,SUCCESSFUL,2024-03-26 11:53:33.000,Oti|Dambai,112.99,GHS,AGENT
ORMT-00000580,OR-C000026,1,SUCCESSFUL,2024-03-30 15:46:24.000,Oti|Dambai,2751.52,GHS,AGENT
ORMT-00000612,OR-C000027,1,SUCCESSFUL,2024-03-16 17:28:05.000,Volta|Keta,1671.79,GHS,WEB
ORMT-00000627,OR-C000028,1,SUCCESSFUL,2024-01-11 12:43:40.000,Ashanti|Obuasi,378.57,GHS,AGENT
ORMT-00000628,OR-C000028,1,SUCCESSFUL,2024-02-28 21:40:55.000,Ashanti|Obuasi,771.05,GHS,API
ORMT-00000663,OR-C000030,2,SUCCESSFUL,2024-01-31 11:01:23.000,Greater Accra|Kasoa,1840.62,GHS,MOBILE_APP
ORMT-00000664,OR-C000030,4,SUCCESSFUL,2024-02-23 21:11:01.000,Greater Accra|Kasoa,973.79,GHS,AGENT
ORMT-00000665,OR-C000030,2,SUCCESSFUL,2024-02-18 15:33:05.000,Greater Accra|Kasoa,372.0,GHS,AGENT
ORMT-00000666,OR-C000030,4,SUCCESSFUL,2024-02-18 11:49:33.000,Greater Accra|Kasoa,930.29,GHS,THIRD_PARTY
ORMT-00000741,OR-C000031,3,SUCCESSFUL,2024-01-05 20:06:06.000,Greater Accra|Madina,354.24,GHS,MOBILE_APP
ORMT-00000742,OR-C000031,4,SUCCESSFUL,2024-01-11 14:32:19.000,Greater Accra|Madina,977.18,GHS,AGENT
ORMT-00000743,OR-C000031,7,SUCCESSFUL,2024-01-20 11:34:27.000,Greater Accra|Madina,556.17,GHS,WEB
ORMT-00000744,OR-C000031,7,SUCCESSFUL,2024-01-28 15:29:59.000,Greater Accra|Madina,454.29,GHS,MOBILE_APP
ORMT-00000745,OR-C000031,9,SUCCESSFUL,2024-01-15 07:06:52.000,Greater Accra|Madina,297.45,GHS,AGENT
ORMT-00000746,OR-C000031,3,SUCCESSFUL,2024-02-09 16:28:44.000,Greater Accra|Madina,3939.85,GHS,AGENT
ORMT-00000747,OR-C000031,3,SUCCESSFUL,2024-02-27 17:47:40.000,Greater Accra|Madina,602.02,GHS,AGENT
ORMT-00000748,OR-C000031,2,SUCCESSFUL,2024-03-17 15:17:14.000,Greater Accra|Madina,419.5,GHS,AGENT
ORMT-00000749,OR-C000031,3,SUCCESSFUL,2024-03-22 09:45:24.000,Greater Accra|Madina,4150.87,GHS,AGENT
ORMT-00000750,OR-C000031,3,SUCCESSFUL,2024-03-26 07:04:09.000,Greater Accra|Madina,613.3,GHS,API
ORMT-00000835,OR-C000032,1,SUCCESSFUL,2024-02-29 08:10:11.000,Greater Accra|Kasoa,955.03,GHS,THIRD_PARTY
ORMT-00000836,OR-C000032,1,SUCCESSFUL,2024-02-29 16:58:49.000,Greater Accra|Kasoa,479.27,GHS,AGENT
ORMT-00000837,OR-C000032,6,SUCCESSFUL,2024-02-29 21:57:06.000,Greater Accra|Kasoa,132.84,GHS,THIRD_PARTY
ORMT-00000838,OR-C000032,1,SUCCESSFUL,2024-03-22 15:32:17.000,Greater Accra|Kasoa,206.38,GHS,THIRD_PARTY
ORMT-00000953,OR-C000035,5,SUCCESSFUL,2024-01-01 09:45:03.000,Western|Axim,1099.31,GHS,AGENT
ORMT-00000954,OR-C000035,4,SUCCESSFUL,2024-02-02 20:18:39.000,Western|Axim,684.94,GHS,THIRD_PARTY
ORMT-00000955,OR-C000035,1,SUCCESSFUL,2024-03-22 12:13:51.000,Western|Axim,788.25,GHS,WEB
ORMT-00001000,OR-C000040,1,SUCCESSFUL,2024-02-28 16:56:19.000,Greater Accra|Accra,320.43,GHS,MOBILE_APP
ORMT-00001019,OR-C000041,5,SUCCESSFUL,2024-01-16 07:13:54.000,Bono|Berekum,292.47,GHS,AGENT
ORMT-00001020,OR-C000041,3,SUCCESSFUL,2024-01-18 19:24:36.000,Bono|Berekum,95.33,GHS,THIRD_PARTY
ORMT-00001021,OR-C000041,7,SUCCESSFUL,2024-01-14 10:34:31.000,Bono|Berekum,443.42,GHS,AGENT
