remittance_id,customer_id,country_id,remittance_status,remittance_timestamp,transaction_location,amount,currency,transaction_channel
ORMT-00000001,OR-C000001,4,SUCCESSFUL,2024-10-23 17:16:54.000,Greater Accra|Madina,275.15,GHS,AGENT
ORMT-00000002,OR-C000001,2,SUCCESSFUL,2024-10-24 20:48:36.000,Greater Accra|Madina,1017.93,GHS,API
ORMT-00000003,OR-C000001,1,SUCCESSFUL,2024-12-07 09:44:48.000,Greater Accra|Madina,231.17,GHS,THIRD_PARTY
ORMT-00000004,OR-C000001,8,SUCCESSFUL,2025-04-11 08:25:28.000,Greater Accra|Madina,170.19,GHS,AGENT
ORMT-00000005,OR-C000001,2,SUCCESSFUL,2025-04-01 15:33:25.000,Greater Accra|Madina,239.47,GHS,AGENT
ORMT-00000006,OR-C000002,5,SUCCESSFUL,2024-11-22 08:32:26.000,Western|Tarkwa,727.31,GHS,AGENT
ORMT-00000007,OR-C000002,10,SUCCESSFUL,2024-11-28 13:02:59.000,Western|Tarkwa,136.9,GHS,AGENT
ORMT-00000008,OR-C000002,1,SUCCESSFUL,2024-12-08 15:32:44.000,Western|Tarkwa,689.14,GHS,AGENT
ORMT-00000009,OR-C000002,1,SUCCESSFUL,2024-12-24 08:42:36.000,Western|Tarkwa,575.14,GHS,WEB
ORMT-00000010,OR-C000002,1,SUCCESSFUL,2024-12-16 14:09:45.000,Western|Tarkwa,648.74,GHS,THIRD_PARTY
ORMT-00000011,OR-C000002,8,SUCCESSFUL,2024-12-20 14:40:25.000,Western|Tarkwa,470.23,GHS,WEB
ORMT-00000012,OR-C000002,2,SUCCESSFUL,2025-01-20 09:20:42.000,Western|Tarkwa,3693.05,GHS,AGENT
ORMT-00000013,OR-C000002,3,SUCCESSFUL,2025-01-23 17:20:00.000,Western|Tarkwa,489.34,GHS,WEB
ORMT-00000014,OR-C000002,2,SUCCESSFUL,2025-01-01 10:22:13.000,Western|Tarkwa,3718.53,GHS,AGENT
ORMT-00000015,OR-C000002,3,SUCCESSFUL,2025-03-25 18:25:09.000,Western|Tarkwa,1423.44,GHS,AGENT
ORMT-00000016,OR-C000002,7,SUCCESSFUL,2025-03-09 17:10:54.000,Western|Tarkwa,475.29,GHS,AGENT
ORMT-00000017,OR-C000002,4,SUCCESSFUL,2025-03-16 14:19:34.000,Western|Tarkwa,137.67,GHS,MOBILE_APP
ORMT-00000018,OR-C000002,5,SUCCESSFUL,2025-04-24 09:05:45.000,Western|Tarkwa,321.46,GHS,WEB
ORMT-00000019,OR-C000002,8,SUCCESSFUL,2025-04-06 14:39:34.000,Western|Tarkwa,404.23,GHS,THIRD_PARTY
ORMT-00000020,OR-C000002,9,SUCCESSFUL,2025-04-19 20:42:40.000,Western|Tarkwa,966.94,GHS,MOBILE_APP
ORMT-00000021,OR-C000002,5,SUCCESSFUL,2025-04-16 12:11:48.000,Western|Tarkwa,783.91,GHS,AGENT
ORMT-00000022,OR-C000002,1,SUCCESSFUL,2025-08-05 08:14:29.000,Western|Tarkwa,1105.79,GHS,MOBILE_APP
ORMT-00000023,OR-C000002,4,SUCCESSFUL,2025-09-26 09:38:11.000,Western|Tarkwa,1095.36,GHS,AGENT
ORMT-00000024,OR-C000002,1,SUCCESSFUL,2025-09-04 15:05:27.000,Western|Tarkwa,300.02,GHS,MOBILE_APP
ORMT-00000025,OR-C000002,8,SUCCESSFUL,2025-11-10 15:52:12.000,Western|Tarkwa,2256.93,GHS,AGENT
ORMT-00000026,OR-C000002,8,SUCCESSFUL,2025-12-24 09:14:09.000,Western|Tarkwa,528.25,GHS,API
ORMT-00000027,OR-C000002,7,SUCCESSFUL,2025-12-27 11:13:00.000,Western|Tarkwa,1759.21,GHS,AGENT
ORMT-00000028,OR-C000003,5,SUCCESSFUL,2023-12-31 17:52:05.000,Bono East|Kintampo,1413.85,GHS,AGENT
ORMT-00000029,OR-C000003,1,SUCCESSFUL,2023-12-25 21:45:01.000,Bono East|Kintampo,2899.82,GHS,AGENT
ORMT-00000030,OR-C000003,3,SUCCESSFUL,2023-12-25 10:57:33.000,Bono East|Kintampo,319.75,GHS,AGENT
ORMT-00000031,OR-C000003,4,SUCCESSFUL,2023-12-29 13:30:02.000,Bono East|Kintampo,213.03,GHS,MOBILE_APP
ORMT-00000032,OR-C000003,7,SUCCESSFUL,2023-12-20 07:07:56.000,Bono East|Kintampo,171.44,GHS,API
ORMT-00000033,OR-C000003,1,SUCCESSFUL,2023-12-19 18:01:08.000,Bono East|Kintampo,464.2,GHS,WEB
ORMT-00000034,OR-C000003,1,SUCCESSFUL,2023-12-28 08:08:32.000,Bono East|Kintampo,713.58,GHS,MOBILE_APP
ORMT-00000035,OR-C000003,6,SUCCESSFUL,2023-12-29 19:58:23.000,Bono East|Kintampo,1276.83,GHS,THIRD_PARTY
ORMT-00000036,OR-C000003,4,SUCCESSFUL,2024-01-27 15:47:26.000,Bono East|Kintampo,329.58,GHS,MOBILE_APP
ORMT-00000037,OR-C000003,8,SUCCESSFUL,2024-02-09 11:21:24.000,Bono East|Kintampo,94.53,GHS,MOBILE_APP
ORMT-00000038,OR-C000003,1,SUCCESSFUL,2024-02-28 07:08:42.000,Bono East|Kintampo,125.01,GHS,MOBILE_APP
ORMT-00000039,OR-C000003,3,SUCCESSFUL,2024-02-23 08:58:04.000,Bono East|Kintampo,409.15,GHS,AGENT
ORMT-00000040,OR-C000003,4,SUCCESSFUL,2024-03-29 16:11:23.000,Bono East|Kintampo,295.56,GHS,AGENT
ORMT-00000041,OR-C000003,1,SUCCESSFUL,2024-03-24 20:31:34.000,Bono East|Kintampo,1745.96,GHS,API
ORMT-00000042,OR-C000003,5,SUCCESSFUL,2024-04-29 14:44:38.000,Bono East|Kintampo,646.47,GHS,AGENT
ORMT-00000043,OR-C000003,1,SUCCESSFUL,2024-04-01 11:46:56.000,Bono East|Kintampo,1277.34,GHS,AGENT
ORMT-00000044,OR-C000003,2,SUCCESSFUL,2024-05-08 13:38:31.000,Bono East|Kintampo,202.88,GHS,THIRD_PARTY
ORMT-00000045,OR-C000003,4,SUCCESSFUL,2024-05-01 10:14:51.000,Bono East|Kintampo,817.45,GHS,AGENT
ORMT-00000046,OR-C000003,3,SUCCESSFUL,2024-06-13 18:17:37.000,Bono East|Kintampo,427.78,GHS,AGENT
ORMT-00000047,OR-C000003,4,SUCCESSFUL,2024-06-04 09:13:26.000,Bono East|Kintampo,258.24,GHS,THIRD_PARTY
ORMT-00000048,OR-C000003,1,SUCCESSFUL,2024-07-23 17:13:59.000,Bono East|Kintampo,581.11,GHS,AGENT
ORMT-00000049,OR-C000003,1,SUCCESSFUL,2024-07-27 10:25:09.000,Bono East|Kintampo,852.81,GHS,AGENT
ORMT-00000050,OR-C000003,5,SUCCESSFUL,2024-07-31 07:01:51.000,Bono East|Kintampo,702.53,GHS,MOBILE_APP
ORMT-00000051,OR-C000003,4,SUCCESSFUL,2024-08-15 17:19:43.000,Bono East|Kintampo,292.32,GHS,MOBILE_APP
ORMT-00000052,OR-C000003,4,SUCCESSFUL,2024-09-08 17:00:27.000,Bono East|Kintampo,1867.33,GHS,THIRD_PARTY
ORMT-00000053,OR-C000003,2,SUCCESSFUL,2024-09-19 20:06:36.000,Bono East|Kintampo,966.89,GHS,API
ORMT-00000054,OR-C000003,3,SUCCESSFUL,2024-09-04 13:45:55.000,Bono East|Kintampo,669.56,GHS,THIRD_PARTY
ORMT-00000055,OR-C000003,2,SUCCESSFUL,2024-09-30 09:32:00.000,Bono East|Kintampo,1595.61,GHS,MOBILE_APP
ORMT-00000056,OR-C000003,2,SUCCESSFUL,2024-10-22 10:15:42.000,Bono East|Kintampo,393.54,GHS,AGENT
