loan_id,customer_id,disbursement_timestamp,disbursement_location,maturity_date,principal_amount,interest_rate,currency
SCLN-00000001,SC-C000004,2024-09-04 13:16:46.000,Ashanti|Kumasi,2024-11-07,1353.45,0.0872,GHS
SCLN-00000002,SC-C000004,2025-06-14 11:26:51.000,Ashanti|Kumasi,2025-07-16,559.02,0.1088,GHS
SCLN-00000003,SC-C000009,2025-02-26 10:27:50.000,Western|Takoradi,2025-05-22,651.9,0.139,GHS
SCLN-00000004,SC-C000009,2025-10-08 14:46:35.000,Western|Takoradi,2025-12-18,1347.09,0.2221,GHS
SCLN-00000005,SC-C000012,2023-11-23 11:26:34.000,Volta|Hohoe,2024-02-16,368.09,0.1361,GHS
SCLN-00000006,SC-C000012,2025-01-08 15:39:28.000,Volta|Hohoe,2025-02-23,521.62,0.0881,GHS
SCLN-00000007,SC-C000014,2025-06-09 08:50:15.000,Ashanti|Kumasi,2025-09-09,283.45,0.2618,GHS
SCLN-00000008,SC-C000015,2023-11-27 14:11:34.000,Ashanti|Ejisu,2024-03-21,327.69,0.2963,GHS
SCLN-00000009,SC-C000015,2024-12-05 11:53:26.000,Ashanti|Ejisu,2025-03-01,1468.15,0.1592,GHS
SCLN-00000010,SC-C000015,2025-11-22 16:56:24.000,Ashanti|Ejisu,2026-03-20,453.05,0.1385,GHS
SCLN-00000011,SC-C000016,2025-05-11 16:52:01.000,Greater Accra|Tema,2025-07-07,3645.85,0.2926,GHS
SCLN-00000012,SC-C000017,2025-04-05 12:43:52.000,Greater Accra|Madina,2025-06-11,446.67,0.1848,GHS
SCLN-00000013,SC-C000017,2025-08-05 08:31:10.000,Greater Accra|Madina,2025-11-06,1671.79,0.2067,GHS
SCLN-00000014,SC-C000018,2025-12-01 09:11:46.000,Upper West|Wa,2026-01-08,924.09,0.1027,GHS
SCLN-00000015,SC-C000019,2023-06-29 16:46:17.000,Ahafo|Duayaw Nkwanta,2023-10-06,5763.09,0.2174,GHS
SCLN-00000016,SC-C000019,2024-03-23 17:47:06.000,Ahafo|Duayaw Nkwanta,2024-07-17,700.59,0.0992,GHS
SCLN-00000017,SC-C000021,2025-02-17 15:33:46.000,Bono East|Techiman,2025-05-01,1496.62,0.1878,GHS
SCLN-00000018,SC-C000023,2024-06-08 08:25:00.000,Ashanti|Kumasi,2024-07-21,1120.62,0.106,GHS
SCLN-00000019,SC-C000024,2025-05-07 12:52:43.000,Bono East|Kintampo,2025-08-25,511.95,0.1169,GHS
SCLN-00000020,SC-C000024,2025-11-03 15:59:15.000,Bono East|Kintampo,2025-12-10,560.19,0.2086,GHS
SCLN-00000021,SC-C000025,2025-05-17 17:20:36.000,Eastern|Nkawkaw,2025-08-20,6281.85,0.2503,GHS
SCLN-00000022,SC-C000028,2024-12-03 08:53:49.000,Ashanti|Obuasi,2025-01-20,1203.79,0.2106,GHS
SCLN-00000023,SC-C000029,2025-07-15 08:37:25.000,Greater Accra|Tema,2025-11-12,785.72,0.2738,GHS
SCLN-00000024,SC-C000031,2024-08-23 17:04:19.000,Greater Accra|Madina,2024-10-19,785.56,0.1036,GHS
SCLN-00000025,SC-C000031,2025-10-31 12:14:04.000,Greater Accra|Madina,2026-01-07,1167.27,0.1113,GHS
SCLN-00000026,SC-C000032,2025-06-11 10:58:44.000,Greater Accra|Kasoa,2025-09-26,1961.41,0.1006,GHS
SCLN-00000027,SC-C000032,2025-10-15 12:44:32.000,Greater Accra|Kasoa,2026-01-13,467.02,0.1232,GHS
SCLN-00000028,SC-C000033,2024-11-18 08:05:44.000,Northern|Tamale,2025-01-08,418.94,0.2282,GHS
SCLN-00000029,SC-C000033,2025-06-12 14:36:53.000,Northern|Tamale,2025-07-26,694.79,0.2125,GHS
SCLN-00000030,SC-C000033,2025-09-10 08:56:17.000,Northern|Tamale,2025-10-28,2557.24,0.1895,GHS
SCLN-00000031,SC-C000035,2025-01-19 14:29:53.000,Western|Axim,2025-05-02,1161.92,0.2831,GHS
SCLN-00000032,SC-C000035,2025-10-16 13:42:39.000,Western|Axim,2025-11-29,572.45,0.1808,GHS
SCLN-00000033,SC-C000035,2025-11-30 08:34:54.000,Western|Axim,2026-01-26,923.72,0.1188,GHS
SCLN-00000034,SC-C000036,2024-11-03 14:53:25.000,Eastern|Koforidua,2025-02-25,605.16,0.1619,GHS
SCLN-00000035,SC-C000037,2024-12-25 17:27:33.000,Northern|Tamale,2025-04-20,232.58,0.2927,GHS
