loan_id,customer_id,disbursement_timestamp,disbursement_location,maturity_date,principal_amount,interest_rate,currency
SCLN-00000004,SC-C000009,2025-10-08 14:46:35.000,Western|Takoradi,2025-12-18,1347.09,0.2221,GHS
SCLN-00000010,SC-C000015,2025-11-22 16:56:24.000,Ashanti|Ejisu,2026-03-20,453.05,0.1385,GHS
SCLN-00000014,SC-C000018,2025-12-01 09:11:46.000,Upper West|Wa,2026-01-08,924.09,0.1027,GHS
SCLN-00000020,SC-C000024,2025-11-03 15:59:15.000,Bono East|Kintampo,2025-12-10,560.19,0.2086,GHS
SCLN-00000025,SC-C000031,2025-10-31 12:14:04.000,Greater Accra|Madina,2026-01-07,1167.27,0.1113,GHS
SCLN-00000027,SC-C000032,2025-10-15 12:44:32.000,Greater Accra|Kasoa,2026-01-13,467.02,0.1232,GHS
SCLN-00000032,SC-C000035,2025-10-16 13:42:39.000,Western|Axim,2025-11-29,572.45,0.1808,GHS
SCLN-00000033,SC-C000035,2025-11-30 08:34:54.000,Western|Axim,2026-01-26,923.72,0.1188,GHS
SCLN-00000036,SC-C000038,2025-11-05 09:45:54.000,Ashanti|Obuasi,2026-01-07,1123.12,0.1192,GHS
SCLN-00000037,SC-C000043,2025-10-17 17:43:00.000,Greater Accra|Tema,2026-02-06,1678.95,0.1634,GHS
SCLN-00000038,SC-C000044,2025-10-18 14:03:00.000,Upper East|Navrongo,2026-01-07,635.33,0.1926,GHS
SCLN-00000040,SC-C000045,2025-11-29 08:41:50.000,Oti|Dambai,2026-01-24,2836.85,0.2871,GHS
SCLN-00000043,SC-C000052,2025-10-26 15:04:23.000,Northern|Yendi,2026-01-31,1791.39,0.2315,GHS
SCLN-00000045,SC-C000053,2025-11-16 14:13:24.000,Greater Accra|Accra,2025-12-27,200,0.2201,GHS
SCLN-00000050,SC-C000057,2025-11-15 17:29:58.000,Western|Takoradi,2026-03-02,3051.94,0.2194,GHS
SCLN-00000052,SC-C000058,2025-11-25 10:57:54.000,Greater Accra|Kasoa,2026-03-24,241.4,0.0897,GHS
SCLN-00000055,SC-C000059,2025-11-28 11:12:26.000,Upper East|Bolgatanga,2026-01-10,2799.62,0.207,GHS
SCLN-00000059,SC-C000062,2025-11-25 17:08:05.000,Greater Accra|Accra,2026-02-27,5239.28,0.118,GHS
SCLN-00000061,SC-C000063,2025-11-01 09:57:07.000,Greater Accra|Kasoa,2026-01-08,1990.19,0.2558,GHS
SCLN-00000073,SC-C000075,2025-11-05 13:40:20.000,Bono|Berekum,2025-12-17,1826.34,0.2987,GHS
SCLN-00000077,SC-C000081,2025-11-09 10:24:19.000,Bono|Berekum,2026-02-25,455.19,0.1526,GHS
SCLN-00000082,SC-C000085,2025-10-29 09:36:56.000,Ashanti|Ejisu,2025-12-30,1510.19,0.1399,GHS
SCLN-00000086,SC-C000088,2025-11-02 17:30:16.000,Upper East|Bolgatanga,2026-02-26,2916.8,0.2887,GHS
SCLN-00000089,SC-C000092,2025-10-04 16:09:42.000,Central|Cape Coast,2026-01-26,905.7,0.1874,GHS
SCLN-00000096,SC-C000101,2025-11-11 11:03:01.000,Ahafo|Duayaw Nkwanta,2026-01-25,4641.47,0.1881,GHS
SCLN-00000099,SC-C000108,2025-10-03 11:18:35.000,Upper East|Navrongo,2025-11-19,348.82,0.124,GHS
SCLN-00000101,SC-C000109,2025-10-22 11:46:11.000,Greater Accra|Madina,2025-12-21,715.26,0.1613,GHS
SCLN-00000103,SC-C000112,2025-11-26 10:33:50.000,Eastern|Akropong,2026-03-02,1013.39,0.1756,GHS
SCLN-00000105,SC-C000115,2025-10-08 09:45:35.000,Western|Axim,2025-12-29,2721.71,0.1821,GHS
SCLN-00000114,SC-C000123,2025-10-03 08:27:22.000,Volta|Keta,2025-12-27,1248.44,0.1318,GHS
SCLN-00000116,SC-C000124,2025-10-05 08:54:45.000,Central|Elmina,2025-11-25,842.76,0.2727,GHS
SCLN-00000117,SC-C000124,2025-12-01 10:16:18.000,Central|Elmina,2026-03-13,2063.35,0.164,GHS
SCLN-00000120,SC-C000130,2025-10-18 13:12:16.000,Western|Tarkwa,2025-12-02,244.01,0.2764,GHS
SCLN-00000121,SC-C000131,2025-11-24 16:59:00.000,Greater Accra|Madina,2026-03-18,1016.89,0.2707,GHS
SCLN-00000125,SC-C000133,2025-10-15 16:06:28.000,Ashanti|Ejisu,2026-01-09,291.2,0.1461,GHS
SCLN-00000131,SC-C000142,2025-11-18 09:49:45.000,Eastern|Nkawkaw,2026-02-27,2040.38,0.1698,GHS
SCLN-00000134,SC-C000144,2025-11-28 17:41:59.000,Eastern|Akropong,2026-02-24,944.05,0.108,GHS
SCLN-00000136,SC-C000145,2025-11-13 16:21:54.000,Greater Accra|Madina,2026-01-26,1499.02,0.0819,GHS
SCLN-00000138,SC-C000146,2025-10-01 10:54:26.000,Greater Accra|Kasoa,2025-11-05,250.0,0.2806,GHS
SCLN-00000139,SC-C000147,2025-10-10 12:19:07.000,Greater Accra|Tema,2026-01-23,685.45,0.1461,GHS
SCLN-00000142,SC-C000149,2025-11-30 17:33:26.000,Eastern|Nkawkaw,2026-01-01,406.97,0.2116,GHS
SCLN-00000152,SC-C000158,2025-11-20 13:58:31.000,Bono East|Techiman,2026-01-04,284.39,0.2492,GHS
SCLN-00000153,SC-C000159,2025-10-24 09:47:53.000,Ashanti|Kumasi,2026-02-21,3392.29,0.1133,GHS
SCLN-00000157,SC-C000162,2025-11-02 09:49:42.000,Western|Takoradi,2026-02-27,524.1,0.2052,GHS
SCLN-00000161,SC-C000166,2025-11-02 15:24:40.000,Oti|Dambai,2026-01-21,1918.76,0.1669,GHS
SCLN-00000165,SC-C000169,2025-11-14 09:42:02.000,Greater Accra|Accra,2025-12-21,1302.16,0.1987,GHS
SCLN-00000169,SC-C000171,2025-11-16 16:08:45.000,Volta|Hohoe,2026-01-18,1593.59,0.2131,GHS
SCLN-00000171,SC-C000172,2025-11-12 10:22:01.000,Northern|Tamale,2026-02-21,436.96,0.2913,GHS
SCLN-00000173,SC-C000175,2025-10-17 11:02:32.000,Greater Accra|Madina,2026-01-31,304.11,0.2654,GHS
SCLN-00000178,SC-C000176,2025-11-19 10:07:27.000,Eastern|Koforidua,2026-01-17,439.34,0.1443,GHS
SCLN-00000182,SC-C000179,2025-11-19 14:43:06.000,Upper West|Lawra,2026-02-14,1842.61,0.2785,GHS
SCLN-00000187,SC-C000183,2025-10-02 12:42:28.000,Ashanti|Obuasi,2025-11-12,1407.62,0.1764,GHS
SCLN-00000188,SC-C000183,2025-11-21 09:56:00.000,Ashanti|Obuasi,2025-12-25,1045.36,0.2432,GHS
SCLN-00000191,SC-C000186,2025-11-24 11:21:48.000,Northern|Yendi,2026-03-21,1873.83,0.2029,GHS
SCLN-00000199,SC-C000193,2025-11-12 14:32:44.000,Greater Accra|Kasoa,2026-03-07,1020.88,0.1655,GHS
SCLN-00000201,SC-C000197,2025-11-27 10:35:07.000,Central|Elmina,2026-02-25,2103.18,0.1532,GHS
SCLN-00000207,SC-C000205,2025-10-09 17:39:05.000,Northern|Yendi,2025-12-23,469.1,0.2322,GHS
SCLN-00000212,SC-C000209,2025-10-31 13:25:52.000,Ashanti|Obuasi,2025-12-17,3102.35,0.1363,GHS
SCLN-00000220,SC-C000216,2025-12-01 16:54:09.000,Upper West|Lawra,2026-01-01,812.88,0.2032,GHS
SCLN-00000222,SC-C000217,2025-11-02 14:25:54.000,Greater Accra|Kasoa,2026-02-12,693.23,0.1643,GHS
SCLN-00000230,SC-C000231,2025-10-30 15:45:00.000,Ashanti|Obuasi,2026-01-29,459.6,0.2027,GHS
SCLN-00000232,SC-C000232,2025-11-22 10:31:58.000,Bono East|Kintampo,2026-01-07,1685.35,0.193,GHS
SCLN-00000235,SC-C000236,2025-11-30 08:00:04.000,Bono|Berekum,2026-01-02,200.92,0.207,GHS
SCLN-00000239,SC-C000238,2025-12-01 17:29:00.000,Oti|Jasikan,2026-02-10,3020.08,0.1844,GHS
SCLN-00000242,SC-C000240,2025-11-16 16:34:28.000,Eastern|Nkawkaw,2026-03-11,1033.25,0.0827,GHS
SCLN-00000244,SC-C000244,2025-11-25 16:28:08.000,Eastern|Akropong,2026-02-25,625.28,0.2079,GHS
SCLN-00000249,SC-C000247,2025-10-05 15:21:46.000,Central|Winneba,2026-01-19,902.36,0.1314,GHS
SCLN-00000250,SC-C000248,2025-11-14 17:45:03.000,Eastern|Akropong,2025-12-29,700.6,0.1435,GHS
SCLN-00000251,SC-C000249,2025-11-28 12:31:59.000,Greater Accra|Madina,2026-01-25,1149.62,0.1749,GHS
SCLN-00000254,SC-C000257,2025-10-21 09:43:01.000,Ashanti|Obuasi,2025-12-02,701.82,0.2874,GHS
SCLN-00000255,SC-C000258,2025-11-03 10:05:13.000,Greater Accra|Tema,2025-12-13,549.49,0.1028,GHS
SCLN-00000257,SC-C000259,2025-11-13 08:17:19.000,Eastern|Akropong,2026-02-07,1624.47,0.1268,GHS
SCLN-00000269,SC-C000269,2025-10-11 17:39:57.000,Greater Accra|Accra,2026-01-08,819.89,0.1254,GHS
SCLN-00000274,SC-C000273,2025-11-18 14:03:42.000,Northern|Yendi,2025-12-23,555.97,0.1948,GHS
SCLN-00000278,SC-C000278,2025-11-23 08:43:15.000,Eastern|Koforidua,2026-01-23,2401.63,0.1924,GHS
SCLN-00000280,SC-C000279,2025-11-30 08:16:12.000,Greater Accra|Accra,2026-03-25,2442.37,0.1464,GHS
SCLN-00000283,SC-C000281,2025-11-20 17:51:55.000,Volta|Ho,2026-01-01,1217.36,0.1389,GHS
SCLN-00000290,SC-C000286,2025-10-28 10:55:07.000,Northern|Savelugu,2026-01-01,903.75,0.2873,GHS
SCLN-00000294,SC-C000294,2025-10-24 14:49:55.000,Western|Takoradi,2025-12-24,1241.91,0.2149,GHS
SCLN-00000300,SC-C000299,2025-10-06 12:38:56.000,Greater Accra|Madina,2025-12-09,12445.97,0.2949,GHS
SCLN-00000302,SC-C000300,2025-11-02 17:37:20.000,Ahafo|Goaso,2025-12-06,585.27,0.1776,GHS
SCLN-00000304,SC-C000302,2025-11-16 16:25:04.000,Eastern|Nkawkaw,2026-03-02,250.0,0.0881,GHS
SCLN-00000306,SC-C000303,2025-11-27 15:11:59.000,Volta|Keta,2026-02-23,2766.31,0.1447,GHS
SCLN-00000308,SC-C000304,2025-11-24 13:39:05.000,Volta|Ho,2026-01-12,917.95,0.1879,GHS
SCLN-00000312,SC-C000306,2025-11-30 17:27:01.000,Eastern|Koforidua,2026-01-20,1014.61,0.0992,GHS
SCLN-00000313,SC-C000309,2025-10-05 14:49:24.000,Ashanti|Ejisu,2025-11-30,676.36,0.2899,GHS
SCLN-00000314,SC-C000309,2025-11-30 17:31:20.000,Ashanti|Ejisu,2026-03-07,1564.72,0.1258,GHS
SCLN-00000317,SC-C000313,2025-12-01 17:28:04.000,Western|Tarkwa,2026-01-17,369.2,0.2099,GHS
SCLN-00000321,SC-C000314,2025-11-24 09:18:18.000,Greater Accra|Tema,2026-01-24,394.45,0.2041,GHS
SCLN-00000325,SC-C000320,2025-11-26 10:08:32.000,Bono|Berekum,2026-01-06,1996.25,0.2937,GHS
SCLN-00000330,SC-C000324,2025-11-29 16:08:55.000,Upper West|Wa,2026-02-15,259.98,0.0886,GHS
SCLN-00000334,SC-C000327,2025-10-29 13:33:45.000,Greater Accra|Accra,2026-01-10,1109.31,0.105,GHS
SCLN-00000336,SC-C000328,2025-10-23 15:18:50.000,Greater Accra|Madina,2026-02-08,537.91,0.2121,GHS
SCLN-00000342,SC-C000333,2025-10-31 17:32:49.000,Greater Accra|Madina,2026-01-09,1925.67,0.2612,GHS
SCLN-00000344,SC-C000334,2025-11-21 11:51:03.000,Volta|Hohoe,2026-02-11,994.48,0.1588,GHS
SCLN-00000347,SC-C000338,2025-11-01 09:44:04.000,Greater Accra|Accra,2025-12-08,468.73,0.1023,GHS
SCLN-00000351,SC-C000344,2025-11-21 16:29:35.000,Volta|Keta,2026-03-01,281.45,0.1467,GHS
SCLN-00000363,SC-C000358,2025-10-29 16:26:35.000,Greater Accra|Madina,2026-01-12,2782.57,0.2057,GHS
SCLN-00000369,SC-C000372,2025-11-25 10:09:34.000,Western|Tarkwa,2026-02-22,3238.05,0.1342,GHS
SCLN-00000371,SC-C000374,2025-11-10 12:03:30.000,Greater Accra|Madina,2026-02-06,2843.13,0.1789,GHS
SCLN-00000373,SC-C000376,2025-11-14 11:11:24.000,Greater Accra|Kasoa,2025-12-27,1683.83,0.2413,GHS
SCLN-00000379,SC-C000383,2025-11-22 17:11:07.000,Eastern|Akropong,2026-02-19,1526.54,0.2901,GHS
SCLN-00000381,SC-C000384,2025-11-18 16:35:20.000,Central|Winneba,2025-12-25,580.71,0.1279,GHS
SCLN-00000384,SC-C000386,2025-11-29 09:28:31.000,Ahafo|Duayaw Nkwanta,2026-03-24,5101.43,0.0983,GHS
SCLN-00000385,SC-C000387,2025-11-09 16:18:41.000,Central|Elmina,2025-12-26,1950.81,0.2341,GHS
SCLN-00000388,SC-C000390,2025-10-11 13:25:07.000,Central|Elmina,2025-12-01,364.81,0.2195,GHS
SCLN-00000389,SC-C000390,2025-12-01 10:44:47.000,Central|Elmina,2026-01-16,821.25,0.185,GHS
SCLN-00000398,SC-C000398,2025-11-22 17:53:42.000,Greater Accra|Accra,2026-03-20,1169.47,0.2978,GHS
SCLN-00000400,SC-C000400,2025-12-01 16:46:14.000,Bono|Berekum,2026-02-09,703.61,0.2545,GHS
SCLN-00000401,SC-C000401,2025-11-10 09:58:18.000,Volta|Keta,2026-03-09,405.12,0.235,GHS
SCLN-00000403,SC-C000402,2025-11-27 14:46:17.000,Greater Accra|Tema,2026-02-17,1722.24,0.2354,GHS
SCLN-00000409,SC-C000406,2025-11-28 17:31:31.000,Volta|Keta,2026-01-24,1030.92,0.1092,GHS
SCLN-00000413,SC-C000407,2025-10-21 12:27:07.000,Upper East|Bolgatanga,2025-12-07,2297.04,0.2565,GHS
SCLN-00000416,SC-C000409,2025-11-14 12:18:25.000,Upper East|Bolgatanga,2026-03-02,3262.67,0.1289,GHS
SCLN-00000419,SC-C000415,2025-11-05 10:18:13.000,Ashanti|Kumasi,2026-03-02,916.61,0.1154,GHS
SCLN-00000422,SC-C000417,2025-11-01 15:05:26.000,Eastern|Akropong,2026-02-09,756.74,0.1817,GHS
SCLN-00000427,SC-C000424,2025-11-30 08:21:56.000,Ashanti|Obuasi,2026-03-24,654.22,0.2822,GHS
SCLN-00000438,SC-C000434,2025-10-30 09:56:56.000,Greater Accra|Madina,2026-02-07,1028.16,0.1844,GHS
SCLN-00000440,SC-C000436,2025-11-18 10:44:39.000,Eastern|Nkawkaw,2025-12-29,1077.14,0.1004,GHS
