repayment_id,loan_id,repayment_amount,repayment_timestamp,repayment_location
SCRP-00000012,SCLN-00000004,625.67,2025-10-22 09:36:37.000,Western|Takoradi
SCRP-00000013,SCLN-00000004,311.65,2025-11-05 14:47:12.000,Western|Takoradi
SCRP-00000014,SCLN-00000004,188.68,2025-11-19 16:02:34.000,Western|Takoradi
SCRP-00000015,SCLN-00000004,101.7,2025-12-03 13:02:08.000,Western|Takoradi
SCRP-00000039,SCLN-00000013,125.37,2025-10-06 08:39:44.000,Greater Accra|Madina
SCRP-00000040,SCLN-00000013,71.32,2025-10-21 11:02:41.000,Greater Accra|Madina
SCRP-00000041,SCLN-00000014,449.04,2025-12-07 17:55:06.000,Upper West|Wa
SCRP-00000042,SCLN-00000014,230.64,2025-12-13 18:28:46.000,Upper West|Wa
SCRP-00000043,SCLN-00000014,104.64,2025-12-20 14:29:18.000,Upper West|Wa
SCRP-00000044,SCLN-00000014,63.82,2025-12-26 18:27:08.000,Upper West|Wa
SCRP-00000065,SCLN-00000020,241.08,2025-11-12 16:05:50.000,Bono East|Kintampo
SCRP-00000066,SCLN-00000020,158.46,2025-11-21 10:36:32.000,Bono East|Kintampo
SCRP-00000067,SCLN-00000020,78.61,2025-11-30 11:31:45.000,Bono East|Kintampo
SCRP-00000074,SCLN-00000023,202.17,2025-10-15 16:28:58.000,Greater Accra|Tema
SCRP-00000077,SCLN-00000025,501.27,2025-12-22 18:33:03.000,Greater Accra|Madina
SCRP-00000078,SCLN-00000025,326.81,2025-12-30 16:32:17.000,Greater Accra|Madina
SCRP-00000086,SCLN-00000030,639.23,2025-10-04 17:37:58.000,Northern|Tamale
SCRP-00000087,SCLN-00000030,352.06,2025-10-16 15:35:03.000,Northern|Tamale
SCRP-00000093,SCLN-00000032,262.74,2025-10-30 11:55:08.000,Western|Axim
SCRP-00000094,SCLN-00000032,144.48,2025-11-14 18:05:14.000,Western|Axim
SCRP-00000095,SCLN-00000033,395.53,2025-12-01 13:50:44.000,Western|Axim
SCRP-00000096,SCLN-00000033,248.65,2025-12-19 09:20:48.000,Western|Axim
SCRP-00000097,SCLN-00000033,119.04,2025-12-26 12:10:11.000,Western|Axim
SCRP-00000104,SCLN-00000036,497.18,2025-11-15 13:58:46.000,Ashanti|Obuasi
SCRP-00000105,SCLN-00000036,295.34,2025-11-26 17:09:37.000,Ashanti|Obuasi
SCRP-00000106,SCLN-00000036,162.75,2025-12-06 10:45:30.000,Ashanti|Obuasi
SCRP-00000107,SCLN-00000036,79.68,2025-12-17 16:01:28.000,Ashanti|Obuasi
SCRP-00000108,SCLN-00000036,39.32,2025-12-27 08:13:48.000,Ashanti|Obuasi
SCRP-00000109,SCLN-00000037,805.63,2025-11-04 17:42:27.000,Greater Accra|Tema
SCRP-00000110,SCLN-00000037,401.29,2025-11-21 18:57:03.000,Greater Accra|Tema
SCRP-00000111,SCLN-00000037,221.71,2025-12-14 18:21:17.000,Greater Accra|Tema
SCRP-00000112,SCLN-00000038,279.68,2025-11-03 18:04:36.000,Upper East|Navrongo
SCRP-00000113,SCLN-00000038,151.77,2025-11-19 17:32:09.000,Upper East|Navrongo
SCRP-00000114,SCLN-00000038,87.59,2025-12-05 15:43:43.000,Upper East|Navrongo
SCRP-00000115,SCLN-00000038,51.98,2025-12-21 16:29:06.000,Upper East|Navrongo
SCRP-00000116,SCLN-00000039,98.56,2025-10-09 19:28:17.000,Oti|Dambai
SCRP-00000117,SCLN-00000039,46.43,2025-10-18 14:31:10.000,Oti|Dambai
SCRP-00000118,SCLN-00000039,23.87,2025-10-27 15:18:11.000,Oti|Dambai
SCRP-00000119,SCLN-00000040,1392.69,2025-12-20 09:41:43.000,Oti|Dambai
SCRP-00000120,SCLN-00000040,619.72,2025-12-25 12:24:53.000,Oti|Dambai
SCRP-00000123,SCLN-00000041,50.66,2025-10-27 17:53:37.000,Upper East|Navrongo
SCRP-00000124,SCLN-00000041,31.24,2025-10-27 15:11:40.000,Upper East|Navrongo
SCRP-00000125,SCLN-00000041,15.26,2025-11-06 10:30:25.000,Upper East|Navrongo
SCRP-00000128,SCLN-00000043,786.06,2025-11-26 15:30:07.000,Northern|Yendi
SCRP-00000130,SCLN-00000044,128.52,2025-10-18 13:48:31.000,Greater Accra|Accra
SCRP-00000131,SCLN-00000045,92.18,2025-11-24 13:32:11.000,Greater Accra|Accra
SCRP-00000132,SCLN-00000045,53.09,2025-12-02 10:44:40.000,Greater Accra|Accra
SCRP-00000133,SCLN-00000045,26.63,2025-12-10 15:20:57.000,Greater Accra|Accra
SCRP-00000134,SCLN-00000045,13.45,2025-12-18 10:28:50.000,Greater Accra|Accra
SCRP-00000142,SCLN-00000050,1351.44,2025-12-11 11:39:57.000,Western|Takoradi
SCRP-00000145,SCLN-00000052,114.45,2025-12-24 12:12:59.000,Greater Accra|Kasoa
SCRP-00000148,SCLN-00000054,351.49,2025-10-06 17:39:27.000,Upper East|Bolgatanga
SCRP-00000149,SCLN-00000054,165.98,2025-10-14 09:50:36.000,Upper East|Bolgatanga
SCRP-00000150,SCLN-00000054,89.64,2025-10-21 17:26:04.000,Upper East|Bolgatanga
SCRP-00000151,SCLN-00000054,51.1,2025-10-29 09:47:36.000,Upper East|Bolgatanga
SCRP-00000152,SCLN-00000054,32.05,2025-11-05 12:48:44.000,Upper East|Bolgatanga
SCRP-00000153,SCLN-00000055,1232.77,2025-12-08 10:23:42.000,Upper East|Bolgatanga
SCRP-00000154,SCLN-00000055,684.63,2025-12-19 10:09:22.000,Upper East|Bolgatanga
SCRP-00000155,SCLN-00000055,391.68,2025-12-30 18:45:20.000,Upper East|Bolgatanga
SCRP-00000157,SCLN-00000056,479.36,2025-10-13 13:32:35.000,Greater Accra|Tema
SCRP-00000166,SCLN-00000059,2336.87,2025-12-18 13:23:05.000,Greater Accra|Accra
SCRP-00000171,SCLN-00000061,895.9,2025-11-13 11:41:20.000,Greater Accra|Kasoa
SCRP-00000172,SCLN-00000061,474.59,2025-11-28 08:39:08.000,Greater Accra|Kasoa
SCRP-00000173,SCLN-00000061,285.41,2025-12-19 16:20:55.000,Greater Accra|Kasoa
SCRP-00000215,SCLN-00000071,16.2,2025-10-10 13:33:57.000,Ashanti|Kumasi
SCRP-00000221,SCLN-00000073,787.16,2025-11-12 15:36:51.000,Bono|Berekum
SCRP-00000222,SCLN-00000073,502.25,2025-11-19 16:02:16.000,Bono|Berekum
SCRP-00000223,SCLN-00000073,234.64,2025-11-26 08:39:41.000,Bono|Berekum
SCRP-00000224,SCLN-00000073,135.81,2025-12-03 11:51:03.000,Bono|Berekum
SCRP-00000225,SCLN-00000073,55.67,2025-12-10 12:45:06.000,Bono|Berekum
SCRP-00000226,SCLN-00000074,412.04,2025-11-07 12:16:39.000,Northern|Savelugu
SCRP-00000227,SCLN-00000074,185.01,2025-11-06 19:45:13.000,Northern|Savelugu
SCRP-00000228,SCLN-00000074,112.86,2025-12-09 13:18:00.000,Northern|Savelugu
SCRP-00000236,SCLN-00000077,223.41,2025-12-06 15:30:12.000,Bono|Berekum
SCRP-00000255,SCLN-00000082,673.65,2025-11-13 09:16:46.000,Ashanti|Ejisu
SCRP-00000256,SCLN-00000082,369.43,2025-11-29 08:14:52.000,Ashanti|Ejisu
SCRP-00000257,SCLN-00000082,203.67,2025-12-14 12:43:03.000,Ashanti|Ejisu
SCRP-00000261,SCLN-00000083,86.11,2025-10-04 09:49:30.000,Ashanti|Obuasi
SCRP-00000269,SCLN-00000086,1300.67,2025-12-24 12:12:04.000,Upper East|Bolgatanga
SCRP-00000285,SCLN-00000094,556.8,2025-10-20 19:33:07.000,Greater Accra|Accra
SCRP-00000286,SCLN-00000094,319.34,2025-11-13 17:56:38.000,Greater Accra|Accra
SCRP-00000287,SCLN-00000094,149.73,2025-12-06 08:27:00.000,Greater Accra|Accra
SCRP-00000290,SCLN-00000096,2037.3,2025-12-06 09:26:57.000,Ahafo|Duayaw Nkwanta
SCRP-00000291,SCLN-00000096,569.98,2025-12-31 12:34:45.000,Ahafo|Duayaw Nkwanta
SCRP-00000299,SCLN-00000099,151.65,2025-10-12 13:23:08.000,Upper East|Navrongo
SCRP-00000300,SCLN-00000099,90.25,2025-10-21 19:23:57.000,Upper East|Navrongo
SCRP-00000301,SCLN-00000099,48.56,2025-10-31 14:10:46.000,Upper East|Navrongo
SCRP-00000302,SCLN-00000099,26.07,2025-11-09 13:01:38.000,Upper East|Navrongo
SCRP-00000308,SCLN-00000101,357.18,2025-11-11 09:31:58.000,Greater Accra|Madina
SCRP-00000309,SCLN-00000101,136.04,2025-12-01 11:22:30.000,Greater Accra|Madina
SCRP-00000314,SCLN-00000103,460.26,2025-12-28 17:53:57.000,Eastern|Akropong
SCRP-00000318,SCLN-00000105,1326.17,2025-11-18 10:51:48.000,Western|Axim
SCRP-00000319,SCLN-00000105,617.42,2025-12-22 12:24:34.000,Western|Axim
SCRP-00000320,SCLN-00000105,371.73,2025-12-18 16:44:58.000,Western|Axim
SCRP-00000345,SCLN-00000114,544.44,2025-10-20 14:20:13.000,Volta|Keta
SCRP-00000346,SCLN-00000114,306.92,2025-11-06 12:00:05.000,Volta|Keta
SCRP-00000347,SCLN-00000114,182.24,2025-11-23 09:31:19.000,Volta|Keta
SCRP-00000348,SCLN-00000114,98.26,2025-12-10 15:02:47.000,Volta|Keta
SCRP-00000352,SCLN-00000116,419.51,2025-11-04 13:55:08.000,Central|Elmina
SCRP-00000353,SCLN-00000116,184.2,2025-11-21 09:34:35.000,Central|Elmina
SCRP-00000354,SCLN-00000116,108.01,2025-12-05 14:46:43.000,Central|Elmina
SCRP-00000355,SCLN-00000116,62.45,2025-11-19 13:17:11.000,Central|Elmina
SCRP-00000356,SCLN-00000117,967.79,2025-12-26 09:17:07.000,Central|Elmina
SCRP-00000357,SCLN-00000118,720.93,2025-10-11 13:48:54.000,Greater Accra|Accra
SCRP-00000358,SCLN-00000118,410.11,2025-11-10 15:29:51.000,Greater Accra|Accra
SCRP-00000359,SCLN-00000118,238.0,2025-12-10 19:15:39.000,Greater Accra|Accra
