repayment_id,loan_id,repayment_amount,repayment_timestamp,repayment_location
SCRP-00000001,SCLN-00000001,578.85,2024-09-20 19:16:34.000,Ashanti|Kumasi
SCRP-00000002,SCLN-00000001,341.03,2024-10-06 16:59:37.000,Ashanti|Kumasi
SCRP-00000003,SCLN-00000001,113.1,2024-10-22 13:59:22.000,Ashanti|Kumasi
SCRP-00000004,SCLN-00000002,257.45,2025-06-07 14:30:37.000,Ashanti|Kumasi
SCRP-00000005,SCLN-00000002,140.1,2025-06-12 12:11:04.000,Ashanti|Kumasi
SCRP-00000006,SCLN-00000002,74.34,2025-06-20 16:13:46.000,Ashanti|Kumasi
SCRP-00000007,SCLN-00000002,37.37,2025-06-27 14:28:54.000,Ashanti|Kumasi
SCRP-00000008,SCLN-00000002,22.78,2025-07-01 14:13:56.000,Ashanti|Kumasi
SCRP-00000009,SCLN-00000003,323.65,2025-04-08 10:38:32.000,Western|Takoradi
SCRP-00000010,SCLN-00000003,162.74,2025-04-25 13:37:51.000,Western|Takoradi
SCRP-00000011,SCLN-00000003,81.39,2025-05-29 08:20:29.000,Western|Takoradi
SCRP-00000012,SCLN-00000004,625.67,2025-10-22 09:36:37.000,Western|Takoradi
SCRP-00000013,SCLN-00000004,311.65,2025-11-05 14:47:12.000,Western|Takoradi
SCRP-00000014,SCLN-00000004,188.68,2025-11-19 16:02:34.000,Western|Takoradi
SCRP-00000015,SCLN-00000004,101.7,2025-12-03 13:02:08.000,Western|Takoradi
SCRP-00000016,SCLN-00000005,167.84,2023-12-10 09:22:49.000,Volta|Hohoe
SCRP-00000017,SCLN-00000005,91.37,2023-12-27 12:08:40.000,Volta|Hohoe
SCRP-00000018,SCLN-00000005,50.73,2024-01-13 13:48:13.000,Volta|Hohoe
SCRP-00000019,SCLN-00000005,26.18,2024-01-30 16:53:31.000,Volta|Hohoe
SCRP-00000020,SCLN-00000006,222.44,2025-01-15 12:13:52.000,Volta|Hohoe
SCRP-00000021,SCLN-00000006,134.81,2025-01-23 08:34:45.000,Volta|Hohoe
SCRP-00000022,SCLN-00000006,74.52,2025-01-31 11:23:25.000,Volta|Hohoe
SCRP-00000023,SCLN-00000006,40.9,2025-02-07 17:15:52.000,Volta|Hohoe
SCRP-00000024,SCLN-00000006,21.46,2025-02-15 13:29:51.000,Volta|Hohoe
SCRP-00000025,SCLN-00000007,134.93,2025-07-09 12:06:29.000,Ashanti|Kumasi
SCRP-00000026,SCLN-00000007,69.59,2025-08-09 12:51:02.000,Ashanti|Kumasi
SCRP-00000027,SCLN-00000008,144.26,2023-12-16 12:52:48.000,Ashanti|Ejisu
SCRP-00000028,SCLN-00000008,90.26,2024-01-15 18:43:32.000,Ashanti|Ejisu
